order(0,0)=0
order(384,483)=210
order(385,835)=102
order(386,368)=021
order(387,387)=012
order(389,893)=120
order(390,309)=021
order(391,391)=012
order(392,293)=210
order(394,394)=012
order(395,953)=120
order(396,369)=021
order(397,379)=021
order(398,389)=021
order(401,041)=102
order(402,042)=102
order(403,430)=021
order(405,450)=021
order(407,704)=210
order(408,480)=021
order(409,490)=021
order(410,041)=201
order(412,412)=012
order(415,451)=021
order(416,461)=021
order(417,471)=021
order(418,814)=210
order(419,149)=102
order(420,402)=021
order(421,412)=021
order(423,423)=012
order(425,452)=021
order(426,642)=201
order(427,274)=120
order(428,824)=210
order(429,942)=201
order(430,403)=021
order(431,341)=102
order(432,324)=120
order(435,453)=021
order(436,436)=012
order(437,374)=120
order(438,348)=102
order(439,439)=012
order(451,541)=102
order(452,452)=012
order(453,354)=210
order(457,547)=102
order(458,485)=021
order(459,945)=201
order(460,640)=102
order(461,614)=120
order(462,246)=201
order(463,463)=012
order(465,465)=012
order(467,647)=102
order(468,648)=102
order(469,964)=210
order(470,704)=120
order(471,147)=201
order(472,742)=102
order(473,347)=201
order(475,754)=120
order(476,467)=021
order(478,784)=120
order(479,479)=012
order(480,840)=102
order(481,481)=012
order(482,248)=201
order(483,438)=021
order(485,845)=102
order(486,648)=201
order(489,498)=021
order(490,904)=120
order(492,924)=120
order(495,594)=210
order(496,649)=201
order(497,479)=021
order(498,498)=012
order(501,015)=120
order(503,530)=021
order(504,054)=102
order(506,065)=120
order(507,075)=120
order(508,058)=102
order(509,095)=120
order(510,051)=201
order(512,521)=021
order(513,513)=012
order(514,154)=102
order(516,561)=021
order(517,157)=102
order(518,185)=120
order(519,519)=012
order(520,025)=210
order(521,215)=120
order(523,532)=021
order(524,254)=102
order(526,652)=201
order(527,527)=012
order(528,528)=012
order(529,952)=201
order(530,305)=120
order(531,351)=102
order(532,325)=120
order(534,345)=120
order(536,536)=012
order(537,573)=021
order(538,835)=210
order(539,359)=102
order(540,045)=210
order(541,145)=210
order(542,542)=012
order(543,345)=210
order(546,465)=120
order(547,754)=201
order(548,485)=120
order(549,459)=102
order(560,605)=120
order(561,165)=210
order(562,526)=021
order(563,563)=012
order(564,465)=210
order(567,765)=210
order(568,586)=021
order(569,659)=102
order(570,075)=210
order(571,517)=021
order(572,572)=012
order(573,753)=102
order(574,574)=012
order(576,657)=201
order(578,758)=102
order(579,597)=021
order(580,058)=201
order(581,518)=021
order(582,825)=120
order(583,358)=201
order(584,458)=201
order(586,568)=021
order(587,587)=012
order(590,905)=120
order(591,915)=120
order(592,952)=102
order(593,953)=102
order(594,945)=120
order(596,695)=210
order(597,795)=210
order(598,895)=210
order(601,016)=120
order(602,026)=120
order(603,063)=102
order(604,604)=012
order(605,506)=210
order(607,670)=021
order(608,086)=120
order(609,096)=120
order(610,016)=210
order(612,216)=210
order(613,613)=012
order(614,416)=210
order(615,156)=120
order(617,671)=021
order(618,816)=210
order(619,916)=210
order(620,260)=102
order(621,261)=102
order(623,632)=021
order(624,264)=102
order(625,625)=012
order(627,267)=102
order(628,862)=201
order(629,692)=021
order(631,163)=201
order(632,623)=021
order(634,643)=021
order(635,365)=102
order(637,376)=120
order(638,386)=120
order(639,963)=201
order(640,064)=201
order(641,146)=210
order(642,462)=102
order(643,463)=102
order(645,564)=201
order(647,674)=021
order(648,684)=021
order(649,649)=012
order(650,650)=012
order(651,651)=012
order(652,562)=102
order(653,536)=120
order(654,654)=012
order(657,765)=201
order(658,685)=021
order(659,659)=012
order(670,760)=102
order(671,716)=120
order(672,726)=120
order(673,637)=021
order(674,674)=012
order(675,675)=012
order(678,687)=021
order(680,860)=102
order(682,628)=021
order(683,863)=102
order(684,846)=120
order(685,658)=021
order(687,867)=102
order(689,968)=201
order(690,069)=201
order(691,619)=021
order(694,649)=021
order(695,659)=021
order(697,697)=012
order(698,986)=120
order(701,170)=201
order(702,720)=021
order(703,307)=210
order(704,074)=102
order(705,057)=120
order(706,706)=012
order(708,807)=210
order(709,097)=120
order(710,107)=120
order(712,127)=120
order(713,173)=102
order(714,471)=201
order(716,671)=201
order(718,178)=102
order(719,971)=201
order(720,072)=201
order(721,271)=102
order(723,732)=021
order(724,472)=201
order(726,672)=201
order(728,287)=120
order(729,792)=021
order(730,037)=210
order(731,731)=012
order(732,732)=012
order(734,473)=201
order(735,375)=102
order(736,673)=201
order(738,873)=201
order(739,397)=120
order(740,047)=210
order(741,471)=102
order(742,247)=210
order(743,734)=021
order(745,745)=012
order(746,764)=021
order(748,478)=102
order(749,479)=102
order(750,075)=201
order(751,175)=201
order(752,725)=021
order(754,457)=210
order(756,576)=102
order(758,578)=102
order(759,759)=012
order(760,670)=102
order(761,167)=210
order(762,672)=102
order(763,367)=210
order(764,746)=021
order(765,657)=120
order(768,876)=201
order(769,679)=102
order(780,708)=021
order(781,781)=012
order(782,278)=201
order(783,378)=201
order(785,578)=201
order(786,687)=210
order(789,798)=021
order(790,079)=201
order(791,917)=120
order(792,792)=012
order(793,739)=021
order(794,749)=021
order(795,795)=012
order(796,679)=201
order(798,897)=210
order(801,108)=210
order(802,208)=210
order(803,308)=210
order(804,408)=210
order(806,068)=120
order(807,870)=021
order(809,089)=102
order(810,081)=201
order(812,128)=120
order(813,813)=012
order(814,184)=102
order(815,851)=021
order(816,618)=210
order(817,178)=120
order(819,981)=201
order(820,208)=120
order(821,182)=201
order(823,283)=102
order(824,482)=201
order(825,528)=210
order(826,682)=201
order(827,827)=012
order(829,298)=120
order(830,038)=210
order(831,138)=210
order(832,283)=201
order(834,348)=120
order(835,583)=201
order(836,863)=021
order(837,378)=120
order(839,398)=120
order(840,408)=120
order(841,148)=210
order(842,842)=012
order(843,843)=012
order(845,458)=120
order(846,684)=201
order(847,748)=210
order(849,498)=120
order(850,085)=201
order(851,851)=012
order(852,528)=120
order(853,358)=210
order(854,845)=021
order(856,865)=021
order(857,857)=012
order(859,589)=102
order(860,680)=102
order(861,861)=012
order(862,286)=201
order(863,386)=201
order(864,864)=012
order(865,685)=102
order(867,786)=201
order(869,869)=012
order(870,708)=120
order(871,781)=102
order(872,827)=021
order(873,378)=210
order(874,784)=102
order(875,587)=201
order(876,867)=021
order(879,798)=120
order(890,908)=120
order(891,981)=102
order(893,893)=012
order(894,498)=210
order(895,859)=021
order(896,968)=120
order(897,879)=021
order(901,901)=012
order(902,920)=021
order(903,039)=120
order(904,409)=210
order(905,950)=021
order(906,906)=012
order(907,709)=210
order(908,809)=210
order(910,910)=012
order(913,319)=210
order(914,941)=021
order(915,195)=102
order(916,916)=012
order(917,719)=210
order(918,198)=102
order(920,092)=201
order(921,129)=210
order(923,329)=210
order(924,249)=120
order(925,925)=012
order(926,692)=201
order(927,972)=021
order(928,892)=201
order(930,309)=120
order(931,931)=012
order(932,923)=021
order(934,394)=102
order(935,593)=201
order(936,963)=021
order(937,739)=210
order(940,904)=021
order(941,419)=120
order(942,492)=102
order(943,934)=021
order(945,945)=012
order(946,649)=210
order(947,794)=201
order(948,498)=102
order(950,095)=201
order(951,519)=120
order(952,259)=210
order(953,539)=120
order(954,549)=120
order(957,957)=012
order(958,859)=210
order(960,609)=120
order(961,619)=120
order(962,269)=210
order(963,639)=120
order(964,649)=120
order(965,965)=012
order(967,796)=201
order(970,097)=201
order(972,792)=102
order(973,937)=021
order(974,497)=201
order(975,957)=021
order(976,976)=012
order(978,897)=201
order(980,809)=120
order(981,891)=102
order(982,298)=201
order(983,983)=012
order(984,498)=201
order(985,958)=021
order(1023,0312)=1302
order(1024,0142)=1032
order(1025,2510)=2301
order(1026,2160)=2031
order(1027,7120)=3021
order(1028,0821)=1320
order(1029,1902)=0312
order(1032,3201)=2310
order(1034,0314)=1203
order(1035,1035)=0123
order(1036,1306)=0213
order(1037,0173)=1032
order(1038,3180)=2031
order(1039,9130)=3021
order(1042,2410)=3201
order(1043,3104)=3012
order(1045,5041)=3120
order(1046,0641)=1320
order(1047,1047)=0123
order(1048,0814)=1302
order(1049,4910)=2301
order(1052,2015)=3102
order(1053,1035)=0132
order(1054,5410)=2301
order(1056,0651)=1320
order(1057,1057)=0123
order(1058,5810)=2301
order(1059,1059)=0123
order(1062,1620)=0231
order(1063,1306)=0312
order(1064,4610)=3201
order(1065,6051)=2130
order(1067,6710)=2301
order(1068,6108)=2013
order(1069,1960)=0321
order(1072,1027)=0132
order(1073,1370)=0321
order(1074,0417)=1302
order(1075,7105)=2013
order(1076,0617)=1302
order(1078,1078)=0123
order(1079,7901)=2310
order(1082,2081)=3120
order(1083,3801)=3210
order(1084,8410)=2301
order(1085,5081)=3120
order(1086,0681)=1320
order(1087,8071)=2130
order(1089,8091)=2130
order(1092,2019)=3102
order(1093,9031)=2130
order(1094,1940)=0231
order(1095,1059)=0132
order(1096,9610)=2301
order(1097,1079)=0132
order(1098,8910)=3201
order(1203,3021)=3210
order(1204,4201)=3120
order(1205,5102)=3021
order(1206,1026)=0213
order(1207,7021)=3210
order(1208,8120)=3012
order(1209,0192)=2031
order(1230,1302)=0231
order(1234,2341)=1230
order(1235,3215)=2103
order(1236,3126)=2013
order(1237,2137)=1023
order(1238,3218)=2103
order(1239,1932)=0321
order(1240,4210)=2103
order(1243,1432)=0231
order(1245,4251)=2130
order(1247,2714)=1302
order(1248,4812)=2301
order(1249,2914)=1302
order(1250,0512)=3201
order(1253,1253)=0123
order(1254,4512)=3201
order(1256,2615)=1302
order(1257,1527)=0213
order(1258,8125)=3012
order(1259,9251)=3120
order(1260,2601)=1230
order(1263,1236)=0132
order(1264,4621)=3210
order(1265,6521)=2310
order(1267,7621)=3210
order(1268,2168)=1023
order(1269,6921)=2310
order(1270,0172)=3021
order(1273,7321)=2310
order(1274,7412)=2301
order(1275,2517)=1302
order(1276,1276)=0123
order(1278,8127)=3012
order(1279,1972)=0321
order(1280,8210)=2103
order(1283,3821)=3210
order(1284,4182)=3021
order(1285,8512)=2301
order(1286,2168)=1032
order(1287,7281)=3120
order(1289,8291)=2130
order(1294,9421)=2310
order(1295,5291)=3120
order(1296,1692)=0321
order(1297,7912)=3201
order(1298,1982)=0231
order(1302,3102)=1023
order(1304,1034)=0213
order(1305,0513)=2301
order(1306,6013)=3201
order(1307,3701)=1320
order(1308,1038)=0213
order(1309,3901)=1320
order(1320,3210)=1203
order(1324,4231)=3210
order(1325,2513)=2301
order(1326,3612)=1302
order(1327,7213)=3201
order(1328,3821)=1320
order(1329,9312)=3102
order(1340,4013)=2301
order(1342,2413)=3201
order(1345,3541)=1320
order(1346,6431)=3210
order(1347,1473)=0231
order(1348,3184)=1032
order(1349,4931)=2310
order(1350,3015)=1302
order(1352,5321)=2130
order(1354,3145)=1032
order(1356,5631)=2310
order(1357,5137)=2013
order(1358,1358)=0123
order(1359,5913)=2301
order(1360,6130)=2013
order(1362,1362)=0123
order(1364,4316)=3102
order(1365,3615)=1203
order(1367,6317)=2103
order(1368,1836)=0312
order(1369,1639)=0213
order(1370,0731)=3210
order(1372,7231)=2310
order(1374,3174)=1023
order(1375,3751)=1230
order(1376,3671)=1320
order(1378,7138)=2013
order(1379,7319)=2103
order(1380,8301)=2130
order(1382,2381)=3120
order(1384,1438)=0312
order(1385,5183)=3021
order(1386,6183)=3021
order(1387,1783)=0321
order(1389,3981)=1320
order(1390,0193)=3021
order(1392,2193)=3021
order(1394,9143)=2031
order(1395,1359)=0132
order(1396,1369)=0132
order(1397,3971)=1230
order(1398,1839)=0312
order(1402,1420)=0132
order(1403,1304)=0321
order(1405,4015)=1203
order(1406,4016)=1203
order(1407,7041)=3210
order(1408,8104)=3021
order(1409,9041)=3210
order(1420,0142)=3012
order(1423,4132)=1032
order(1425,5214)=3201
order(1426,1246)=0213
order(1427,1247)=0213
order(1428,1284)=0231
order(1429,1942)=0312
order(1430,1340)=0213
order(1432,1423)=0132
order(1435,5134)=3021
order(1436,1643)=0312
order(1437,4317)=1203
order(1438,8341)=3210
order(1439,3149)=2013
order(1450,0451)=3120
order(1452,4125)=1032
order(1453,1435)=0132
order(1456,5461)=2130
order(1457,1745)=0312
order(1458,5814)=2301
order(1459,5419)=2103
order(1460,6104)=2031
order(1462,6421)=2130
order(1463,6314)=2301
order(1465,1654)=0231
order(1467,1476)=0132
order(1468,6418)=2103
order(1469,4961)=1320
order(1470,0174)=3021
order(1472,7142)=2013
order(1473,1734)=0231
order(1475,1754)=0231
order(1476,4716)=1203
order(1478,8174)=3021
order(1479,9417)=3102
order(1480,4810)=1203
order(1482,4821)=1230
order(1483,8143)=2013
order(1485,4581)=1320
order(1486,8416)=2103
order(1487,7481)=3120
order(1489,1948)=0312
order(1490,0491)=3120
order(1492,4912)=1203
order(1493,9341)=2310
order(1495,9145)=2013
order(1496,4916)=1203
order(1497,9174)=2031
order(1498,1498)=0123
order(1502,2015)=3201
order(1503,0135)=2031
order(1504,0514)=2103
order(1506,0165)=2031
order(1507,1750)=0312
order(1508,5081)=1230
order(1509,9150)=3012
order(1520,2150)=2013
order(1523,2315)=2301
order(1524,1245)=0231
order(1526,1562)=0132
order(1527,7152)=3012
order(1528,8125)=3021
order(1529,2951)=2310
order(1530,5103)=1032
order(1532,1325)=0231
order(1534,4513)=3102
order(1536,5613)=1302
order(1537,1753)=0312
order(1538,1385)=0231
order(1539,9135)=3021
order(1540,1504)=0132
order(1542,5124)=1032
order(1543,5413)=1203
order(1546,1456)=0213
order(1547,1754)=0312
order(1548,8541)=3120
order(1549,9514)=3102
order(1560,0651)=3210
order(1562,5126)=1032
order(1563,1536)=0132
order(1564,5416)=1302
order(1567,6517)=2103
order(1568,1568)=0123
order(1569,5619)=1203
order(1570,1507)=0132
order(1572,5721)=1230
order(1573,7351)=2310
order(1574,1745)=0231
order(1576,6715)=3201
order(1578,1758)=0213
order(1579,7951)=2310
order(1580,5180)=1023
order(1582,5821)=1230
order(1583,3185)=3021
order(1584,4815)=3201
order(1586,5168)=1032
order(1587,5781)=1320
order(1589,1895)=0231
order(1590,0951)=3210
order(1592,1295)=0321
order(1593,1593)=0123
order(1594,5419)=1302
order(1596,5619)=1302
order(1597,9751)=2310
order(1598,9158)=2013
order(1602,2016)=3201
order(1603,6013)=1203
order(1604,1046)=0231
order(1605,1605)=0123
order(1607,7061)=3210
order(1608,8610)=3102
order(1609,1096)=0231
order(1620,1260)=0213
order(1623,6231)=1230
order(1624,6241)=1230
order(1625,1562)=0312
order(1627,7261)=3210
order(1628,2816)=2301
order(1629,9621)=3120
order(1630,3160)=2013
order(1632,2361)=3210
order(1634,4316)=3201
order(1635,3516)=2301
order(1637,7361)=3210
order(1638,1368)=0213
order(1639,6913)=1302
order(1640,4610)=2103
order(1642,4216)=2301
order(1643,6314)=1302
order(1645,4651)=2130
order(1647,6714)=1302
order(1648,4618)=2103
order(1649,4619)=2103
order(1650,5106)=2031
order(1652,5621)=2130
order(1653,6153)=1023
order(1654,6145)=1032
order(1657,1765)=0312
order(1658,5186)=2031
order(1659,5196)=2031
order(1670,7610)=2103
order(1672,6271)=1320
order(1673,3176)=3021
order(1674,1764)=0213
order(1675,7651)=2130
order(1678,6178)=1023
order(1679,1976)=0321
order(1680,6801)=1230
order(1682,6218)=1302
order(1683,6381)=1320
order(1684,1846)=0231
order(1685,8165)=2013
order(1687,1678)=0132
order(1689,8691)=2130
order(1690,0916)=3201
order(1692,1962)=0213
order(1693,9613)=2103
order(1694,6941)=1230
order(1695,1596)=0321
order(1697,6971)=1230
order(1698,9861)=2310
order(1702,0721)=2130
order(1703,7031)=1230
order(1704,4071)=3210
order(1705,7105)=1023
order(1706,6107)=3021
order(1708,0871)=2310
order(1709,9710)=3102
order(1720,1027)=0321
order(1723,1237)=0231
order(1724,2741)=2130
order(1725,1572)=0312
order(1726,1267)=0231
order(1728,8172)=3012
order(1729,9172)=3012
order(1730,1730)=0123
order(1732,2173)=3012
order(1734,7134)=1023
order(1735,3157)=2031
order(1736,6713)=3102
order(1738,3781)=2130
order(1739,7193)=1032
order(1740,0417)=3201
order(1742,2174)=3012
order(1743,7341)=1320
order(1745,5417)=3201
order(1746,6741)=3120
order(1748,7184)=1032
order(1749,9147)=3021
order(1750,0517)=3201
order(1752,2571)=3210
order(1753,3517)=3201
order(1754,1475)=0312
order(1756,5671)=2310
order(1758,1578)=0213
order(1759,7591)=1230
order(1760,7601)=1230
order(1762,7162)=1023
order(1763,3176)=3012
order(1764,1746)=0132
order(1765,5671)=3210
order(1768,7618)=1203
order(1769,6719)=2103
order(1780,8071)=2310
order(1782,1872)=0213
order(1783,1873)=0213
order(1784,1847)=0231
order(1785,5871)=3210
order(1786,6817)=3201
order(1789,8719)=2103
order(1790,7910)=1203
order(1792,2179)=3012
order(1793,9371)=2310
order(1794,4197)=3021
order(1795,7915)=1203
order(1796,7916)=1203
order(1798,9718)=2103
order(1802,8120)=1032
order(1803,0138)=2031
order(1804,8140)=1032
order(1805,8051)=1230
order(1806,1608)=0321
order(1807,7180)=3012
order(1809,9108)=3021
order(1820,1280)=0213
order(1823,1823)=0123
order(1824,4812)=3102
order(1825,1582)=0312
order(1826,8621)=1320
order(1827,2781)=2310
order(1829,1928)=0321
order(1830,1308)=0231
order(1832,8123)=1032
order(1834,3184)=2013
order(1835,3518)=2301
order(1836,3618)=2301
order(1837,8317)=1203
order(1839,1389)=0213
order(1840,4810)=2103
order(1842,8214)=1302
order(1843,1843)=0123
order(1845,5814)=3102
order(1846,1684)=0312
order(1847,7418)=3201
order(1849,1498)=0231
order(1850,8105)=1032
order(1852,1285)=0312
order(1853,5318)=2301
order(1854,1485)=0312
order(1856,8561)=1230
order(1857,1875)=0132
order(1859,5891)=2130
order(1860,1806)=0132
order(1862,6128)=2031
order(1863,1386)=0312
order(1864,1864)=0123
order(1865,6581)=2310
order(1867,6718)=2301
order(1869,1896)=0132
order(1870,7180)=2013
order(1872,8127)=1032
order(1873,1378)=0321
order(1874,7148)=2031
order(1876,1687)=0312
order(1879,9817)=3102
order(1890,9180)=2013
order(1892,2981)=3210
order(1893,8139)=1032
order(1894,9814)=2103
order(1895,8195)=1023
order(1896,6981)=3210
order(1897,7198)=3021
order(1902,0192)=2013
order(1903,3901)=3120
order(1904,1490)=0312
order(1906,9106)=1023
order(1907,0197)=2013
order(1908,9180)=1032
order(1920,1029)=0321
order(1923,2139)=2031
order(1924,4912)=3102
order(1925,5192)=3012
order(1926,2691)=2310
order(1927,1792)=0312
order(1928,8912)=3102
order(1930,1903)=0132
order(1932,3912)=2103
order(1934,9143)=1032
order(1935,5391)=3210
order(1936,1963)=0132
order(1937,9713)=1302
order(1938,3891)=2310
order(1940,9401)=1230
order(1942,4912)=2103
order(1943,3194)=3012
order(1945,9415)=1203
order(1946,1694)=0312
order(1947,7941)=3120
order(1948,9184)=1032
order(1950,1509)=0231
order(1952,9152)=1023
order(1953,3951)=3120
order(1954,9415)=1302
order(1956,9615)=1302
order(1957,1579)=0231
order(1958,1985)=0132
order(1960,1609)=0231
order(1962,9216)=1302
order(1963,6319)=2301
order(1964,1946)=0132
order(1965,1695)=0213
order(1967,1679)=0231
order(1968,6981)=2130
order(1970,0791)=3210
order(1972,2791)=3210
order(1973,3197)=3012
order(1974,7914)=2103
order(1975,9715)=1203
order(1976,6791)=3210
order(1978,7819)=2301
order(1980,9180)=1023
order(1982,1928)=0132
order(1983,3918)=3102
order(1984,9184)=1023
order(1985,5981)=3120
order(1986,8961)=2130
order(1987,1789)=0321
order(2013,1032)=2130
order(2014,4021)=3102
order(2015,0152)=1230
order(2016,6012)=3120
order(2017,0217)=1023
order(2018,0128)=1203
order(2019,1902)=2310
order(2031,2130)=0321
order(2034,4203)=3012
order(2035,3025)=2103
order(2036,3026)=2103
order(2037,3027)=2103
order(2038,8320)=3201
order(2039,9302)=3210
order(2041,2410)=0231
order(2043,3420)=3201
order(2045,0542)=1320
order(2046,6204)=3012
order(2047,7204)=3012
order(2048,2048)=0123
order(2049,9042)=3120
order(2051,1520)=3201
order(2053,5032)=2130
order(2056,2650)=0321
order(2057,2705)=0312
order(2058,0528)=1203
order(2059,5209)=2013
order(2061,0261)=1023
order(2063,3602)=3210
order(2064,6420)=2301
order(2065,2056)=0132
order(2067,6207)=2013
order(2068,8602)=3210
order(2069,0296)=1032
order(2071,1027)=3102
order(2073,2037)=0132
order(2074,4027)=3102
order(2075,5720)=3201
order(2076,7602)=2310
order(2078,0827)=1302
order(2079,7029)=2103
order(2081,8210)=2031
order(2083,0823)=1203
order(2084,2804)=0213
order(2085,5082)=3120
order(2086,6082)=3120
order(2087,0287)=1023
order(2089,9280)=3021
order(2091,0291)=1023
order(2093,9032)=2130
order(2094,0924)=1203
order(2095,2950)=0231
order(2096,0692)=1320
order(2097,0729)=1302
order(2098,8029)=3102
order(2103,2013)=0213
order(2104,0142)=2130
order(2105,5102)=3120
order(2106,0216)=2013
order(2107,0721)=2301
order(2108,2801)=0321
order(2109,0129)=2103
order(2130,3201)=2031
order(2134,4231)=3021
order(2135,1325)=1203
order(2136,6231)=3021
order(2137,2317)=0213
order(2138,1328)=1203
order(2139,9132)=3120
order(2140,4210)=2013
order(2143,2413)=0213
order(2145,5421)=3201
order(2146,6412)=3210
order(2147,4217)=2013
order(2148,8142)=3120
order(2149,9241)=3021
order(2150,5120)=2103
order(2153,2315)=0312
order(2154,4125)=3102
order(2156,5621)=2301
order(2157,2751)=0321
order(2158,5821)=2301
order(2159,2195)=0132
order(2160,2610)=0213
order(2163,1326)=1302
order(2164,6241)=2031
order(2165,5216)=3012
order(2167,1726)=1302
order(2168,6281)=2031
order(2169,9612)=3210
order(2170,7201)=2031
order(2173,7123)=2103
order(2174,2471)=0321
order(2175,2157)=0132
order(2176,7621)=2301
order(2178,7812)=2310
order(2179,1792)=1230
order(2180,1208)=1032
order(2183,1823)=1203
order(2184,1248)=1032
order(2186,6128)=3102
order(2187,2781)=0321
order(2189,1298)=1032
order(2190,2019)=0312
order(2193,3219)=3012
order(2194,2149)=0132
order(2195,9215)=2013
order(2196,6291)=3021
order(2197,9127)=2103
order(2198,8192)=3120
order(2301,3021)=1203
order(2304,3204)=1023
order(2305,5023)=3201
order(2306,6023)=3201
order(2307,2370)=0132
order(2308,2803)=0321
order(2309,2309)=0123
order(2310,0231)=3012
order(2314,3142)=1230
order(2315,3215)=1023
order(2316,1326)=2103
order(2317,3721)=1302
order(2318,1238)=2013
order(2319,1329)=2103
order(2340,4320)=2103
order(2341,4213)=2031
order(2345,3542)=1320
order(2346,3426)=1203
order(2347,2374)=0132
order(2348,3842)=1320
order(2349,3249)=1023
order(2350,5230)=2013
order(2351,1325)=3102
order(2354,2345)=0132
order(2356,6235)=3012
order(2357,3275)=1032
order(2358,2583)=0231
order(2359,3259)=1023
order(2360,0326)=3102
order(2361,6132)=2310
order(2364,3642)=1230
order(2365,3652)=1230
order(2367,3276)=1032
order(2368,8236)=3012
order(2369,6329)=2103
order(2370,7023)=2301
order(2374,2734)=0213
order(2375,5327)=3102
order(2376,3672)=1320
order(2378,2873)=0321
